Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,DVD,BoxOffice,Production,Website
The Room,2003,R,27 Jun 2003,99 min,Drama,Tommy Wiseau,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle, Greg Sestero, Philip Haldiman","Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored of him and decides to seduce Johnny's best friend, Mark. From there, nothing will be the same again.",English,USA,1 win.,http://ia.media-imdb.com/images/M/MV5BMTg4MTU1MzgwOV5BMl5BanBnXkFtZTcwNjM1MTAwMQ@@._V1_SX300.jpg,N/A,3.5,"22,801",tt0368226,movie,33,rotten,3.8,18,6,12,"A bona fide classic of midnight cinema, Tommy Wiseau's misguided masterpiece subverts the rules of filmmaking with a boundless enthusiasm that renders such mundanities as acting, screenwriting, and cinematography utterly irrelevant. You will never see a football the same way again.",47,2.7,"6,983",17 Dec 2005,N/A,N/A,http://theroommovie.com/
Superman III,1983,PG,17 Jun 1983,125 min,"Action, Comedy, Sci-Fi",Richard Lester,"Joe Shuster (character created by: Superman), Jerry Siegel (character created by: Superman), David Newman (screenplay), Leslie Newman (screenplay)","Christopher Reeve, Richard Pryor, Jackie Cooper, Marc McClure",Synthetic kryptonite laced with tobacco tar splits Superman in two: good Clark Kent and bad Man of Steel.,"English, Italian, Spanish","UK, USA",1 win & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU2MDA2OTY2NV5BMl5BanBnXkFtZTcwMDA5MzMyMQ@@._V1_SX300.jpg,42,4.9,"41,996",tt0086393,movie,26,rotten,4.5,43,11,32,"When not overusing sight gags, slapstick, and Richard Pryor, Superman III resorts to plot points rehashed from the previous Superman flicks.",24,2.7,"166,388",01 May 2001,N/A,WARNER BROTHERS PICTURES,N/A
Catwoman,2004,PG-13,23 Jul 2004,104 min,"Action, Crime",Pitof,"Bob Kane (characters), Theresa Rebeck (story), John D. Brancato (story), Michael Ferris (story), John D. Brancato (screenplay), Michael Ferris (screenplay), John Rogers (screenplay)","Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.","English, Spanish",USA,6 wins & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BMjA4MzM0NDAzOF5BMl5BanBnXkFtZTcwMDY3MDYyMQ@@._V1_SX300.jpg,27,3.3,"77,224",tt0327554,movie,9,rotten,3.1,191,17,174,"Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",18,2.2,"273,762",18 Jan 2005,$40.2M,Warner Bros. Pictures,http://catwoman.warnerbros.com/
Jingle All the Way,1996,PG,22 Nov 1996,89 min,"Comedy, Family",Brian Levant,Randy Kornfield,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson","A father needs to get a Turbo Man action figure for his son just before Christmas. Unfotunately, every store is sold out of Turbo Man figures, and he must travel all over town and compete with everybody else to find a Turbo Man figure.",English,USA,2 wins & 1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTE5OTYzMzc0MV5BMl5BanBnXkFtZTcwNjQ0NTI1MQ@@._V1_SX300.jpg,N/A,5.4,"60,273",tt0116705,movie,17,rotten,4,42,7,35,"Arnold Schwarzenegger tries his best, but Jingle All the Way suffers from an uneven tone, shifting wildly from a would-be satire on materialism to an antic, slapstick yuk-fest.",37,2.6,"227,561",03 Nov 1998,N/A,20th Century Fox,N/A
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,18 Nov 2011,117 min,"Adventure, Drama, Fantasy",Bill Condon,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.","English, Portuguese",USA,10 wins & 21 nominations.,http://ia.media-imdb.com/images/M/MV5BODgxNDE0OTAzOF5BMl5BanBnXkFtZTcwNzcwODE2Ng@@._V1_SX300.jpg,45,4.9,"159,755",tt1324999,movie,24,rotten,4.4,192,47,145,"Slow, joyless, and loaded with unintentionally humorous moments, Breaking Dawn Part 1 may satisfy the Twilight faithful, but it's strictly for fans of the franchise.",59,3.5,"181,974",11 Feb 2012,$281.3M,Summit Entertainment,http://www.breakingdawn-themovie.com/
Crank,2006,R,01 Sep 2006,88 min,"Action, Crime, Thriller","Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez",Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,"English, Spanish, Korean",USA,2 wins.,http://ia.media-imdb.com/images/M/MV5BMjg0NjAxNDY4MV5BMl5BanBnXkFtZTcwODA5MjMzMw@@._V1_SX300.jpg,57,7.0,"170,851",tt0479884,movie,61,fresh,6,92,56,36,"It's a film about a guy injected with Speed... wait, there's no bus. It's a film about a guy who has to kick a bunch of squirmy butt to stay alive... wait, no snakes or planes here. But it is a film about doing lots of drugs and pulling lots of punches, and it entertains accordingly.",71,3.5,"441,842",09 Jan 2007,$27.8M,Lionsgate,http://www.crankfilm.com/
Trespass,2011,R,21 Oct 2011,91 min,"Crime, Drama, Thriller",Joel Schumacher,Karl Gajdusek,"Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Liana Liberato","As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.",English,"USA, Bulgaria",2 nominations.,http://ia.media-imdb.com/images/M/MV5BMTM4NTc0Mzk5N15BMl5BanBnXkFtZTcwNDA4NDUyNg@@._V1_SX300.jpg,37,5.3,"30,031",tt1674784,movie,10,rotten,3.3,70,7,63,"Another claustrophobic thriller that Joel Schumacher can churn out in his sleep, Trespass is nasty and aggressive, more unpleasant than entertaining.",22,2.5,"6,954",01 Nov 2011,$16.8k,Millennium Entertainment,http://www.trespass-the-movie.com/
Cool as Ice,1991,PG,18 Oct 1991,91 min,"Comedy, Music, Romance",David Kellogg,David Stenn,"Naomi Campbell, Vanilla Ice, Deezer D, Kevin Hicks","A rap-oriented remake of ""The Wild One"", with heavy emphasis on the fact that rap star Vanilla Ice has assumed the Marlon Brando role.",English,USA,1 win & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BMTkzNTY5ODU3OV5BMl5BanBnXkFtZTcwNDA1ODgxMQ@@._V1_SX300.jpg,N/A,2.8,"7,210",tt0101615,movie,8,rotten,2.4,13,1,12,N/A,42,2.5,"4,466",19 Dec 1991,N/A,Universal Pictures,N/A
Birdemic: Shock and Terror,2010,Not Rated,27 Feb 2010,105 min,"Horror, Romance, Thriller",James Nguyen,"James Nguyen (screenplay), James Nguyen (story)","Alan Bagh, Whitney Moore, Tippi Hedren, Janae Caster","A platoon of eagles and vultures attacks the residents of a small town. Many people die. It's not known what caused the flying menace to attack. Two people manage to fight back, but will they survive Birdemic?",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BOTcxODAwMDYwNV5BMl5BanBnXkFtZTcwNzQ3MjQzMg@@._V1_SX300.jpg,N/A,1.8,"10,379",tt1316037,movie,20,rotten,2.7,15,3,12,N/A,27,1.9,"1,386",22 Feb 2011,N/A,Independant Pictures,http://www.birdemic.com
88 Minutes,2007,R,18 Apr 2008,108 min,"Crime, Drama, Mystery",Jon Avnet,Gary Scott Thompson,"Al Pacino, Alicia Witt, Leelee Sobieski, Amy Brenneman","On the day that a serial killer that he helped put away is supposed to be executed, a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live.",English,"USA, Germany, Canada",3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTgxOTg1NzgzMV5BMl5BanBnXkFtZTcwNTM3Mjc1MQ@@._V1_SX300.jpg,17,5.9,"59,946",tt0411061,movie,5,rotten,2.6,122,6,116,88 Minutes is a shockingly inept psychological thriller that expertly squanders the talent at hand.,44,3.1,"103,727",16 Sep 2008,$16.9M,Sony Pictures Entertainment,http://www.sonypictures.com/movies/88minutes/index.html
