Name	Count
Sincere L. Bobb	 1
Slobodan Dimitrijevic	 1
Sofia Eng	 1
Sofía Vergara	 1
Sonny Barnes	 1
Sonny Carl Davis	 1
Sophie Okonedo	 1
Spencer Garrett	 1
Stacey Nelkin	 1
Stacy Daniel	 1
Stanley Tucci	 2
Stefano Molinari	 1
Stephanie Abrams	 1
Stephanie Janusauskas	 1
Stephanie Marie Douglas	 1
Stephen Campbell Moore	 1
Stephen Colbert	 1
Stephen Graham	 1
Stephen Gustavson	 1
Stephen Moyer	 1
Stephen Root	 1
Stephen Tobolowsky	 1
Steve Bickford	 1
Steve Blass	 1
Steve Inwood	 1
Steve Kahan	 1
Steve Peck	 1
Steve Rackman	 1
Steve Sleap	 1
Steven Berkoff	 2
Steven Seagal	 1
Stuart Pankin	 1
SuChin Pak	 1
Sumiko Braun	 1
Summer Bishil	 1
Sung Kang	 2
Sunshine Parker	 1
Susan Blakely	 1
Susan Glaze	 1
Susan Krebs	 1
Sydney Lassick	 1
Sylvain Landry	 1
Sylvester Stallone	 7
Sylvia Harman	 1
T.J. Storm	 1
Tadashi Yamashita	 1
Taika Waititi	 1
Talisa Soto	 1
Tamala Jones	 1
Tamara Tunie	 1
Tamia	 1
Tammy Hui	 1
Tanee McCall-Short	 1
Tania Saulnier	 1
Tanya Franks	 1
Tanya Newbould	 1
Tanya Roberts	 1
Tara Reid	 2
Taryn Manning	 1
Taylor Ann Thompson	 1
Taylor Handley	 1
Taylor Lautner	 2
Taylor Negron	 1
Ted Levine	 1
Ted Raimi	 1
Tego Calderon	 1
Temuera Morrison	 2
Terence Kelly	 1
Teri Hatcher	 1
Terrence Howard	 1
Terrence Jenkins	 1
Terry Camilleri	 1
Terry Funk	 1
Terry Milam	 1
Tetchie Agbayani	 1
The Dream Boys	 1
Theresa Russell	 2
Theresa San-Nicholas	 1
Thomas Blankenship	 1
Thomas E. van Dell	 1
Thomas Haden Church	 2
Thomas Ikeda	 1
Tia Texada	 1
Tiffany Cole	 1
Tim Curry	 1
Tim Gunn	 1
Tim Post	 1
Tim Robbins	 2
Tim Rose	 1
Tim Thomerson	 1
Timothy Dalton	 1
Timothy Scott Floyd	 1
Tina Caspary	 1
Tina Cote	 1
Tina Parker	 1
Tippi Hedren	 1
Tobey Maguire	 1
Todd Farmer	 1
Todd Giebenhain	 1
Toi Svane Stepp	 1
Tom Atkins	 2
Tom Bosley	 1
Tom Heaton	 1
Tom Quinn	 1
Tommy 'Tiny' Lister	 1
Tommy Wiseau	 1
Tonita Castro	 1
Tony Bill	 1
Tony Black	 1
Tony Calabretta	 1
Tony Munafo	 2
Topher Grace	 1
Travis McKenna	 1
Trevor Fahnstrom	 1
Trevor Goddard	 1
Trevor Thompson	 1
Trish Coren	 1
Tudi Wiggins	 1
Ty Olsson	 1
Tyler Khan	 1
Tyrese Gibson	 2
Ulrich Thomsen	 1
Uma Thurman	 1
Val Avery	 1
Valarie Pettiford	 1
Valarie Rae Miller	 1
Valeria Cavalli	 1
Valri Bromfield	 1
Vanessa Hudgens	 1
Vanessa Lee Asher	 1
Vanessa Williams	 1
Vanilla Ice	 1
Vendela Kirsebom Thomessen	 1
Verne Troyer	 1
Vicki Lewis	 1
Victor DiMattia	 1
Victor Pagan	 1
Victor Varnado	 1
Victoria Beckham	 1
Vin Diesel	 2
Vincent Castellanos	 1
Ving Rhames	 1
Vinnie Curto	 1
Vinnie Torrente	 1
Vivian Le Borgne	 1
Vivica A. Fox	 2
Vyto Ruginis	 1
Walter Gotell	 1
Wanetah Walmsley	 1
Warwick Davis	 1
Wayne Knight	 1
Welker White	 1
Wendy Melvoin	 1
Wendy Wessberg	 1
Wesley Snipes	 1
Whitney Moore	 1
Will Rothhaar	 1
Will Sanderson	 1
Will Smith	 2
Willem Dafoe	 1
William Baldwin	 1
William Dunn	 1
William Fichtner	 1
William Forsythe	 1
William Hurt	 1
William Newman	 1
Willoughby Gray	 1
Willy Kuskin	 1
Winter Ave Zoli	 1
Woody Carter	 1
Xander Berkeley	 1
Yamil Piedra	 1
Yousuf Azami	 1
Yvette Van Voorhees	 1
Zemphira Gosling	 1
Zlatko Pokupec	 1
Zoe Saldana	 1
Zoë Kravitz	 1
